Student_ID,Form_No,Class,Student_Name,Surname,Father_Name,Mother_Name,DOB,DOB_Words,Place_of_Birth,District,State,Aadhar,Category,Religion,Mother_Tongue,Physical_Disability,Blood_Group,Address,City,Pin_Code,Emergency_Contact_Name,Emergency_Contact_No,Guardian_Name,Guardian_Relation
1,MRS-0001,Class 1,Ankit Choudhary,Choudhary,Manoj Choudhary,Sunita Choudhary,43612,43612,Indore,Indore,Madhya Pradesh,656736000000,SC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Manoj Choudhary,9500022278,Manoj Choudhary,Father
2,MRS-0002,Class 1,Priya Mishra,Mishra,Rakesh Mishra,Vinita Mishra,42941,42941,Indore,Indore,Madhya Pradesh,735751000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Mishra,9130406158,Rakesh Mishra,Father
3,MRS-0003,Class 1,Rohit Patel,Patel,Anil Patel,Rekha Patel,43813,43813,Indore,Indore,Madhya Pradesh,140635000000,SC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Anil Patel,9895675155,Anil Patel,Father
4,MRS-0004,Class 1,Aakash Agarwal,Agarwal,Deepak Agarwal,Seema Agarwal,43722,43722,Indore,Indore,Madhya Pradesh,433076000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Deepak Agarwal,9376252796,Deepak Agarwal,Father
5,MRS-0005,Class 1,Nikhil Patel,Patel,Anil Patel,Rekha Patel,43252,43252,Indore,Indore,Madhya Pradesh,743790000000,OBC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Anil Patel,9633097693,Anil Patel,Father
6,MRS-0006,Class 1,Suresh Patel,Patel,Rajesh Patel,Vinita Patel,43023,43023,Indore,Indore,Madhya Pradesh,636618000000,ST,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Patel,9895430073,Rajesh Patel,Father
7,MRS-0007,Class 1,Aakash Choudhary,Choudhary,Deepak Choudhary,Sunita Choudhary,42989,42989,Indore,Indore,Madhya Pradesh,836771000000,OBC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Deepak Choudhary,9876663367,Deepak Choudhary,Father
8,MRS-0008,Class 1,Aakash Verma,Verma,Anil Verma,Kiran Verma,43675,43675,Indore,Indore,Madhya Pradesh,178835000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Anil Verma,9284137637,Anil Verma,Father
9,MRS-0009,Class 1,Shreya Sharma,Sharma,Deepak Sharma,Sarla Sharma,43593,43593,Indore,Indore,Madhya Pradesh,648032000000,General,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Deepak Sharma,9545081931,Deepak Sharma,Father
10,MRS-0010,Class 1,Pranav Patel,Patel,Rajesh Patel,Vinita Patel,43544,43544,Indore,Indore,Madhya Pradesh,208042000000,ST,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Patel,9814375044,Rajesh Patel,Father
11,MRS-0011,Class 1,Aman Patel,Patel,Deepak Patel,Lata Patel,42926,42926,Indore,Indore,Madhya Pradesh,514864000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Deepak Patel,9618015261,Deepak Patel,Father
12,MRS-0012,Class 1,Neha Yadav,Yadav,Rajesh Yadav,Lata Yadav,43655,43655,Indore,Indore,Madhya Pradesh,920188000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Yadav,9835106557,Rajesh Yadav,Father
13,MRS-0013,Class 1,Nikhil Choudhary,Choudhary,Ashok Choudhary,Sunita Choudhary,43602,43602,Indore,Indore,Madhya Pradesh,609081000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Ashok Choudhary,9179671187,Ashok Choudhary,Father
14,MRS-0014,Class 1,Nikhil Mishra,Mishra,Vijay Mishra,Lata Mishra,43285,43285,Indore,Indore,Madhya Pradesh,936061000000,ST,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Vijay Mishra,9336263116,Vijay Mishra,Father
15,MRS-0015,Class 1,Pooja Sharma,Sharma,Manoj Sharma,Meena Sharma,42990,42990,Indore,Indore,Madhya Pradesh,203860000000,OBC,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Manoj Sharma,9303322278,Manoj Sharma,Father
16,MRS-0016,Class 1,Aman Choudhary,Choudhary,Manoj Choudhary,Sarla Choudhary,43574,43574,Indore,Indore,Madhya Pradesh,491458000000,General,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Manoj Choudhary,9702128622,Manoj Choudhary,Father
17,MRS-0017,Class 1,Pranav Agarwal,Agarwal,Manoj Agarwal,Seema Agarwal,43692,43692,Indore,Indore,Madhya Pradesh,739371000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Manoj Agarwal,9220560434,Manoj Agarwal,Father
18,MRS-0018,Class 1,Kavita Choudhary,Choudhary,Sanjay Choudhary,Rekha Choudhary,43399,43399,Indore,Indore,Madhya Pradesh,144992000000,ST,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Choudhary,9721924985,Sanjay Choudhary,Father
19,MRS-0019,Class 1,Suresh Agarwal,Agarwal,Ashok Agarwal,Seema Agarwal,43790,43790,Indore,Indore,Madhya Pradesh,852623000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Ashok Agarwal,9132897901,Ashok Agarwal,Father
20,MRS-0020,Class 1,Aakash Choudhary,Choudhary,Mahesh Choudhary,Vinita Choudhary,43537,43537,Indore,Indore,Madhya Pradesh,805230000000,OBC,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Choudhary,9444820636,Mahesh Choudhary,Father
21,MRS-0021,Class 1,Rohit Agarwal,Agarwal,Manoj Agarwal,Seema Agarwal,43315,43315,Indore,Indore,Madhya Pradesh,793873000000,SC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Manoj Agarwal,9616243178,Manoj Agarwal,Father
22,MRS-0022,Class 1,Riya Agarwal,Agarwal,Rajesh Agarwal,Sarla Agarwal,42989,42989,Indore,Indore,Madhya Pradesh,230487000000,General,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Agarwal,9189871350,Rajesh Agarwal,Father
23,MRS-0023,Class 1,Kavita Agarwal,Agarwal,Ashok Agarwal,Sarla Agarwal,43020,43020,Indore,Indore,Madhya Pradesh,370399000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Ashok Agarwal,9766681645,Ashok Agarwal,Father
24,MRS-0024,Class 1,Anjali Agarwal,Agarwal,Rakesh Agarwal,Seema Agarwal,43173,43173,Indore,Indore,Madhya Pradesh,665988000000,General,Hindu,Hindi,No,B+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Agarwal,9126899851,Rakesh Agarwal,Father
25,MRS-0025,Class 1,Rohit Agarwal,Agarwal,Rajesh Agarwal,Vinita Agarwal,43196,43196,Indore,Indore,Madhya Pradesh,440139000000,OBC,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Rajesh Agarwal,9761630872,Rajesh Agarwal,Father
26,MRS-0026,Class 1,Rahul Verma,Verma,Rakesh Verma,Seema Verma,42938,42938,Indore,Indore,Madhya Pradesh,538877000000,ST,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Verma,9191565224,Rakesh Verma,Father
27,MRS-0027,Class 1,Aman Malviya,Malviya,Mahesh Malviya,Seema Malviya,42843,42843,Indore,Indore,Madhya Pradesh,441946000000,ST,Hindu,Hindi,No,O+,"Indore, Madhya Pradesh",Indore,452001,Mahesh Malviya,9583536270,Mahesh Malviya,Father
28,MRS-0028,Class 1,Priya Yadav,Yadav,Ashok Yadav,Geeta Yadav,42864,42864,Indore,Indore,Madhya Pradesh,624857000000,SC,Hindu,Hindi,No,AB+,"Indore, Madhya Pradesh",Indore,452001,Ashok Yadav,9250601692,Ashok Yadav,Father
29,MRS-0029,Class 1,Neha Jain,Jain,Rakesh Jain,Kiran Jain,43573,43573,Indore,Indore,Madhya Pradesh,215897000000,General,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Rakesh Jain,9359775720,Rakesh Jain,Father
30,MRS-0030,Class 1,Nikhil Mishra,Mishra,Sanjay Mishra,Vinita Mishra,42938,42938,Indore,Indore,Madhya Pradesh,597415000000,General,Hindu,Hindi,No,A+,"Indore, Madhya Pradesh",Indore,452001,Sanjay Mishra,9456826444,Sanjay Mishra,Father
